Time (min),Output
1,60
2,60
3,60
4,60
5,61
6,61
7,61
8,62
9,62
10,63
11,64
12,64
13,65
14,66
15,67
16,68
17,69
18,70
19,71
20,72
21,73
22,74
23,75
24,77
25,78
26,79
27,81
28,82
29,84
30,86
31,87
32,89
33,91
34,92
35,94
36,96
37,98
38,100
39,102
40,104
41,106
42,108
43,110
44,113
45,115
46,117
47,120
48,122
49,124
50,127
51,129
52,132
53,134
54,137
55,140
56,142
57,145
58,148
59,151
60,153
61,156
62,159
63,162
64,165
65,168
66,171
67,174
68,177
69,180
70,183
71,186
72,190
73,193
74,196
75,199
76,203
77,206
78,209
79,213
80,216
81,220
82,223
83,226
84,230
85,233
86,237
87,241
88,244
89,248
90,251
91,255
92,259
93,262
94,266
95,270
96,274
97,277
98,281
99,285
100,289
101,293
102,297
103,300
104,304
105,308
106,312
107,316
108,320
109,324
110,328
111,332
112,336
113,340
114,344
115,348
116,352
117,356
118,360
119,365
120,369
121,373
122,377
123,381
124,385
125,389
126,394
127,398
128,402
129,406
130,410
131,414
132,419
133,423
134,427
135,431
136,436
137,440
138,444
139,448
140,453
141,457
142,461
143,465
144,470
145,474
146,478
147,482
148,487
149,491
150,495
151,500
152,504
153,508
154,512
155,517
156,521
157,525
158,529
159,534
160,538
161,542
162,547
163,551
164,555
165,559
166,564
167,568
168,572
169,576
170,580
171,585
172,589
173,593
174,597
175,602
176,606
177,610
178,614
179,618
180,623
181,627
182,631
183,635
184,639
185,643
186,647
187,651
188,656
189,660
190,664
191,668
192,672
193,676
194,680
195,684
196,688
197,692
198,696
199,700
200,704
201,708
202,712
203,716
204,720
205,724
206,727
207,731
208,735
209,739
210,743
211,747
212,751
213,754
214,758
215,762
216,766
217,769
218,773
219,777
220,780
221,784
222,788
223,791
224,795
225,799
226,802
227,806
228,809
229,813
230,816
231,820
232,823
233,827
234,830
235,833
236,837
237,840
238,843
239,847
240,850
241,853
242,857
243,860
244,863
245,866
246,870
247,873
248,876
249,879
250,882
251,885
252,888
253,891
254,894
255,897
256,900
257,903
258,906
259,909
260,912
261,914
262,917
263,920
264,923
265,926
266,928
267,931
268,934
269,936
270,939
271,941
272,944
273,947
274,949
275,952
276,954
277,957
278,959
279,961
280,964
281,966
282,968
283,971
284,973
285,975
286,977
287,979
288,982
289,984
290,986
291,988
292,990
293,992
294,994
295,996
296,998
297,1000
298,1002
299,1003
300,1005
301,1007
302,1009
303,1010
304,1012
305,1014
306,1016
307,1017
308,1019
309,1020
310,1022
311,1023
312,1025
313,1026
314,1028
315,1029
316,1030
317,1032
318,1033
319,1034
320,1035
321,1037
322,1038
323,1039
324,1040
325,1041
326,1042
327,1043
328,1044
329,1045
330,1046
331,1047
332,1048
333,1049
334,1050
335,1050
336,1051
337,1052
338,1053
339,1053
340,1054
341,1054
342,1055
343,1056
344,1056
345,1057
346,1057
347,1057
348,1058
349,1058
350,1058
351,1059
352,1059
353,1059
354,1059
355,1060
356,1060
357,1060
358,1060
